Keyword,VendorCode,VendorName,Email To,Email CC,MC ,Buyer
,9165,"BINH DUONG YUTO PACKAGING TECHNOLOGY CO., LTD",lianghq@szyuto.com; richardli@szyuto.com; hongyu.ruan@szyuto.com,HoangMinh.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,HoangMinh.Phan@ttigroup.com.vn,"TVN547430, Phan Hoang Minh (VN.OP-PMC)"
,11337,J.C.L MANUFACTURING.INC COMPANY LIMITED,cat_sleepy94@yahoo.com.vn;cz.guan@chenfengdg.com;jcl-warehouse@chenfengdg.com;tam.hoang@chenfengdg.com;xx.xiao@chenfengdg.com;yb.zhou@chenfengdg.com;hoainghiem000@gmail.com,ThienAn.Phan@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThienAn.Phan@ttigroup.com.vn,"TVN524979, Phan Thien An (VN.OP-SC)"
,9316,"PU ZHOU (VIETNAM) METAL PRODUCTS CO., LTD",pzsg02@dgpuzhou.com;pzsg03@dgpuzhou.com;pzvn005@dgpuzhou.com,Dang.Duong@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,Dang.Duong@ttigroup.com.vn,"TVN622650, Duong Nguyen Khanh Dang (VN.OP-SUC)"
,11795,PYS VIETNAM TECHNOLOGY COMPANY LIMITED,Yan.luo@pystech.com;alana.he@pystech.com;yan.luo@chinapysind.com;cecilia.zhu@pystech.com;jade.huang@pystech.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,10568,VIET HUNG SAI GON PACKAGING CORPORATION,chin.ntb@viethung.com.vn;muoi.hv@viethung.com.vn;nhung.tth@viethung.com.vn;pe.vhs@viethung.com.vn;sales.vhs@viethung.com.vn;xuan.hn@viethung.com.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThiThuyDuong.Bui@ttigroup.com.vn,ThiThuyDuong.Bui@ttigroup.com.vn,"TVN525403, Bui Thi Thuy Duong (VN.OP-SC)"
,12015,VIET NAM HIKEY TECHNOLOGY COMPANY LIMITED,wangwei@vnhikey.com; jijuan@himore.cn; Sales@vnhikey.com; sales.assist@vnhikey.com,ThiMai.Le@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMai.Le@ttigroup.com.vn,"TVN514082, Le Thi Mai (VN.OP-SUC)"
,12529,"VIET NAM INITATION CO., LTD",mai@initation.com.vn; trang@initation.com.vn; huyen@initation.com.vn; exim@initation.com.vn,ThiMinhNghia.Tran@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,ThiMinhNghia.Tran@ttigroup.com.vn,"TVN898, Tran Thi Minh Nghia"
,13836,VIET NAM XINHUI TECHNOLOGY COMPANY LIMITED,phamthingoc@vnxinhui.com; xinhui@jmtck.com,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
,12684,ADVANCE INNOVATION TECHNOLOGY (VIET NAM) COMPANY LIMITED,web@cnzjch.com;ait@cnzjch.com;charles.lin@cnzjch.com,VanDuc.Nguyen1@ttigroup.com.vn;ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn,VanDuc.Nguyen1@ttigroup.com.vn,"TVN622655, Nguyen Van Duc (VN.OP-SUC)"
,10949,BACH TUNG TRAVEL CONSTRUCTION MECHANICAL COMPANY LIMITED,sale05@bachtung.vn; nguyentong@bachtung.vn; qa01@bachtung.vn; sale06@bachtung.vn; sale01@bachtung.vn; sale03@bachtung.vn; kehoach02@bachtung.vn;khaina@bachtung.vn;ngancm@bachtung.vn;kehoach04@bachtung.vn,ThiNguyet.Do02@ttigroup.com.vn;AnhThu.Nguyen1@ttigroup.com.vn;ThuHien.Nguyen@ttigroup.com.vn,ThuHien.Nguyen@ttigroup.com.vn,"TVN637980, Nguyen Thu Hien (VN.OP-SC-PMC)"
