"Item Seq"	"Follow By Mps"	"Change Type"	"Adjust date"	"Batch No"	"Phase Code"	"Item No"	"Master pack"	"Item Type"	"Description"	"Customer Item"	"End Buyer"	"Customer Name"	"Region"	"Customer PO Number"	"Order Number"	"OFIS Line ID"	"Order Remark"	"Customer Due Date"	"Original Qty"	"Original Promise Date"	"Original Schedule Ship Date"	"Request Qty"	"Request Date"	"Order Priority"	"New Request Qty"	"New Request Date"	"Reply Qty"	"Reply Promise Date"	"Reply Schedule Date"	"New Priority"	"Material Ready Date"	"Part Remarks"	"MPS Remark"	"Part No."	"Shortage Qty"	"Material need by date"	"MC double check"	"MC Remarks for MR"	"Part lead time"	"Usage"	"MC Remark"	"Planner Code"	"Buyer"	"Part Desc"	"Vendor Name"	"End Supplier Name"	"Part Lead Time__DUP2"	"Lead Time"	"Outstanding"	"Materials Gap"	"OTD Gap"	"Creation Date"	"Release Date"	"Ecc Schedule Ship Date"	"Source Line Id"	"supply Source"	"Bu Category"	"System update on"	"ASCP supply"	"ASCP supply Alert"	"Next Shortage Date"	"Highlight next shortage (if within 1M)"	"_SourceKey"	"_SourceFile"	"_SourceSheet"	"_SourceRow"	"Remark"
"882"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451849"	"239093896"	"6621705"	"No Forecast"	""	""	""	""	"90"	"19/09/2026"	"95"	"90"	"19/09/2026"	"90"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"522519002"	"90"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , SUFIX 5 SPINE SLEEVE , STEEL UPPER BOOM \ 25.4CC"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58637985"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|3"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"3"	""
"883"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451849"	"239093896"	"6621705"	"No Forecast"	""	""	""	""	"90"	"19/09/2026"	"95"	"90"	"19/09/2026"	"90"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"534172001"	"90"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , LINER , UPPER BOOM"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58637985"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|4"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"4"	""
"899"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451849"	"239093896"	"6621705"	"No Forecast"	""	""	""	""	"90"	"19/09/2026"	"95"	"90"	"19/09/2026"	"90"	""	"19/09/2026"	"95"	"05/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"638011001"	"90"	"05/09/2026"	""	""	"35"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"STAMPING,SNAP BUTTON\PS02072A"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"35"	"16"	"Y"	"-2"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58637985"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|5"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"5"	""
"902"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451850"	"239093898"	"6621717"	"No Forecast"	""	""	""	""	"900"	"19/09/2026"	"95"	"900"	"19/09/2026"	"900"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25:TOPBAND SMART DONG NAI (VN):742388001:2026/09/28:0:,:308210009:2026/09/26:REDSUN:539398002:2026/09/26:REDSUN:539399008:2026/09/26:REDSUN:539400008:2026/09/26:REDSUN:539401002:2026/09/26::635361001:2026/09/26::638004029:2026/09/26::662920001:2026/09/26::662921001:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::678587001:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::643267001:2026/09/19::643268001:2026/09/19::660203052:2026/09/19::662568002:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::638011001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::532048001:2026/09/05::660203001:2026/09/05::661955001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"522519002"	"900"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , SUFIX 5 SPINE SLEEVE , STEEL UPPER BOOM \ 25.4CC"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638347"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|6"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"6"	""
"903"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451850"	"239093898"	"6621717"	"No Forecast"	""	""	""	""	"900"	"19/09/2026"	"95"	"900"	"19/09/2026"	"900"	""	"19/09/2026"	"95"	"26/09/2026"	":281335131:2026/10/25:TOPBAND SMART DONG NAI (VN):742388001:2026/09/28:0:,:308210009:2026/09/26:REDSUN:539398002:2026/09/26:REDSUN:539399008:2026/09/26:REDSUN:539400008:2026/09/26:REDSUN:539401002:2026/09/26::635361001:2026/09/26::638004029:2026/09/26::662920001:2026/09/26::662921001:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::678587001:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::643267001:2026/09/19::643268001:2026/09/19::660203052:2026/09/19::662568002:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::638011001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::532048001:2026/09/05::660203001:2026/09/05::661955001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"638004029"	"900"	"05/09/2026"	"24/09/2026"	""	"45"	"1"	""	"MC129OPJ"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"STEEL-TUBE, LOWER BOOM \ BASED ON 638004012 \ 090109014"	"YU XIN VIET NAM COMPANY LIMITED"	"YU XIN VIET NAM COMPANY LIMITED"	"45"	"16"	"Y"	"-23"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638347"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|7"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"7"	""
"921"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451850"	"239093898"	"6621717"	"No Forecast"	""	""	""	""	"900"	"19/09/2026"	"95"	"900"	"19/09/2026"	"900"	""	"19/09/2026"	"95"	"13/09/2026"	":281335131:2026/10/25:TOPBAND SMART DONG NAI (VN):742388001:2026/09/28:0:,:308210009:2026/09/26:REDSUN:539398002:2026/09/26:REDSUN:539399008:2026/09/26:REDSUN:539400008:2026/09/26:REDSUN:539401002:2026/09/26::635361001:2026/09/26::638004029:2026/09/26::662920001:2026/09/26::662921001:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::678587001:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::643267001:2026/09/19::643268001:2026/09/19::660203052:2026/09/19::662568002:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::638011001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::532048001:2026/09/05::660203001:2026/09/05::661955001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"638011001"	"900"	"05/09/2026"	""	""	"35"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"STAMPING,SNAP BUTTON\PS02072A"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"35"	"16"	"Y"	"-10"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638347"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|8"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"8"	""
"933"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J4"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTIAUS"	"TECHTRONIC INDUSTRIES AUSTRALIA PTY Ltd"	"AUS_PT"	"4500451850"	"239093898"	"6621717"	"No Forecast"	""	""	""	""	"900"	"19/09/2026"	"95"	"900"	"19/09/2026"	"900"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25:TOPBAND SMART DONG NAI (VN):742388001:2026/09/28:0:,:308210009:2026/09/26:REDSUN:539398002:2026/09/26:REDSUN:539399008:2026/09/26:REDSUN:539400008:2026/09/26:REDSUN:539401002:2026/09/26::635361001:2026/09/26::638004029:2026/09/26::662920001:2026/09/26::662921001:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::678587001:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::643267001:2026/09/19::643268001:2026/09/19::660203052:2026/09/19::662568002:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::638011001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::532048001:2026/09/05::660203001:2026/09/05::661955001:2026/09/05::678011001:2026/09/05::678020003:2026/09/05:"	""	"534172001"	"900"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , LINER , UPPER BOOM"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638347"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|9"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"9"	""
"940"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J5"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTINZ"	"TECHTRONIC INDUSTRIES N.Z. LIMITED"	"NZ_PT"	"4500451851"	"239093899"	"6621713"	"No Forecast"	""	""	""	""	"34"	"19/09/2026"	"95"	"34"	"19/09/2026"	"34"	""	"19/09/2026"	"95"	"05/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05:"	""	"638011001"	"34"	"05/09/2026"	""	""	"35"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"STAMPING,SNAP BUTTON\PS02072A"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"WONDERWARD TECHNOLOGY (HONG KONG) LIMITED"	"35"	"16"	"Y"	"-2"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638341"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|10"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"10"	""
"955"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J5"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTINZ"	"TECHTRONIC INDUSTRIES N.Z. LIMITED"	"NZ_PT"	"4500451851"	"239093899"	"6621713"	"No Forecast"	""	""	""	""	"34"	"19/09/2026"	"95"	"34"	"19/09/2026"	"34"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05:"	""	"534172001"	"34"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , LINER , UPPER BOOM"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638341"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|11"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"11"	""
"956"	""	"NEW/"	"30/06/2026 15:59"	"TC5OP260630J5"	"REPLYING"	"'095297206"	"2"	"FG"	"ANZ, R36LTR20 \ RYOBI 36V BRUSHLESS STRAIGHT SHAFT 38CM LINE TRIMMER TOOL ONLY \ PR:232445"	"R36LTR20"	"TTINZ"	"TECHTRONIC INDUSTRIES N.Z. LIMITED"	"NZ_PT"	"4500451851"	"239093899"	"6621713"	"No Forecast"	""	""	""	""	"34"	"19/09/2026"	"95"	"34"	"19/09/2026"	"34"	""	"19/09/2026"	"95"	"19/09/2026"	":281335131:2026/10/25::308210009:2026/09/26::678284002:2026/09/26::678460002:2026/09/26::639788003:2026/09/20::639788004:2026/09/20:YAO-I:522519002:2026/09/19:YAO-I:534172001:2026/09/19:Ming Hao:537143001:2026/09/19::620983004:2026/09/19::635361001:2026/09/19::660203052:2026/09/19::662920001:2026/09/19::662921001:2026/09/19::678587001:2026/09/19:Ming Hao:526760001:2026/09/13:Ming Hao:536875001:2026/09/13::308024001:2026/09/12:Ming Hao:518019004:2026/09/12::662568002:2026/09/12::678009001:2026/09/12:EAGLE:660642001:2026/09/06::638011001:2026/09/05::660203001:2026/09/05::678011001:2026/09/05:"	""	"522519002"	"34"	"05/09/2026"	""	""	"30"	"1"	""	"MC129OPS"	"TVN634465, Le Chi Quoc Hung (VN.OP-SUC)"	"PLASTIC , SUFIX 5 SPINE SLEEVE , STEEL UPPER BOOM \ 25.4CC"	"YAO-I"	"YAO-I VIETNAM COMPANY LIMITED"	"30"	"16"	"Y"	"-16"	""	"30/06/2026"	"30/06/2026 15:59"	"19/09/2026"	"58638341"	"N"	"OP"	"30/06/2026 15:59"	""	""	""	""	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb|MR|12"	"ANZ MR20260702 TC5_XC5 001Tracy new add.xlsb"	"MR"	"12"	""
